stock_id,sector,business_model,geographic_focus,business_maturity,competitive_position,market_cap_category,revenue_tier,profitability_profile,asset_intensity,financial_strength
US001,Industrials,B2B,Global,Growth,Market_Leader,Large,Tier_1,Low_Margin,Capital_Intensive,Strong
US002,Industrials,B2B,International,Mature,Market_Leader,Mid,Tier_2,Standard,Moderate,Developing
US003,Healthcare,B2C,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Stable
US004,Healthcare,B2B,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US005,Technology,B2B,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US006,Technology,Platform,International,Growth,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US007,Technology,B2B,Global,Mature,Market_Leader,Large,Tier_1,Standard,Asset_Light,Stable
US008,Utilities,B2C,Domestic,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Developing
US009,Finance,B2C,International,Mature,Market_Leader,Large,Tier_1,Low_Margin,Capital_Intensive,Stable
US010,Healthcare,B2C,International,Mature,Market_Leader,Mid,Tier_2,High_Margin,Asset_Light,Strong
US011,Materials,B2C,Global,Mature,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US012,Consumer_Discretionary,B2C,Global,Growth,Strong_Player,Large,Tier_1,Low_Margin,Moderate,Strong
US013,Technology,Platform,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US014,Materials,B2B,Domestic,Growth,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US015,Real_Estate,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US016,Healthcare,B2C,International,Growth,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Stable
US017,Industrials,B2B,Global,Growth,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Strong
US018,Utilities,B2B,Global,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US019,Finance,B2C,Domestic,Mature,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US020,Communication,Platform,Global,Mature,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US021,Communication,Platform,Global,Mature,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US022,Consumer_Staples,B2C,Global,Cyclical,Market_Leader,Large,Tier_1,Standard,Capital_Intensive,Strong
US023,Consumer_Discretionary,Platform,International,Cyclical,Market_Leader,Large,Tier_1,Standard,Asset_Light,Stable
US024,Consumer_Discretionary,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Strong
US025,Utilities,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Stable
US026,Utilities,B2B,International,Cyclical,Market_Leader,Large,Tier_1,Standard,Capital_Intensive,Strong
US027,Finance,B2C,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Capital_Intensive,Strong
US028,Finance,B2C,International,Growth,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Stable
US029,Real_Estate,B2B,Global,Mature,Market_Leader,Large,Tier_1,Standard,Asset_Light,Strong
US030,Utilities,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Strong
US031,Finance,B2C,Global,Cyclical,Market_Leader,Mid,Tier_2,Low_Margin,Asset_Light,Stable
US032,Industrials,B2B,International,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US033,Healthcare,B2B,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US034,Technology,B2B,International,Mature,Strong_Player,Large,Tier_1,High_Margin,Moderate,Strong
US035,Technology,B2B,International,Growth,Strong_Player,Large,Tier_1,Standard,Asset_Light,Strong
US036,Finance,B2C,International,Growth,Strong_Player,Large,Tier_1,High_Margin,Capital_Intensive,Stable
US037,Energy,B2C,Domestic,Cyclical,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Developing
US038,Finance,B2C,International,Mature,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US039,Technology,B2B,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US040,Technology,B2B,Global,Mature,Market_Leader,Large,Tier_1,Standard,Asset_Light,Strong
US041,Consumer_Discretionary,B2C,Domestic,Mature,Market_Leader,Mid,Tier_2,High_Margin,Capital_Intensive,Strong
US042,Finance,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Strong
US043,Consumer_Staples,B2C,International,Cyclical,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Stable
US044,Technology,B2B,Global,Growth,Market_Leader,Large,Tier_1,Standard,Asset_Light,Stable
US045,Finance,B2C,Global,Growth,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US046,Finance,B2C,Domestic,Mature,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Strong
US047,Communication,B2B,Global,Growth,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US048,Utilities,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Strong
US049,Technology,Platform,Domestic,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US050,Technology,Platform,Global,Growth,Market_Leader,Large,Tier_1,Standard,Asset_Light,Strong
US051,Consumer_Discretionary,B2C,Global,Mature,Strong_Player,Large,Tier_1,Low_Margin,Moderate,Strong
US052,Real_Estate,B2B,International,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US053,Consumer_Discretionary,B2C,Global,Growth,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Stable
US054,Industrials,B2B,Domestic,Cyclical,Strong_Player,Large,Tier_1,Low_Margin,Capital_Intensive,Strong
US055,Energy,B2B,International,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Strong
US056,Consumer_Discretionary,B2C,International,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US057,Finance,B2C,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US058,Healthcare,B2C,International,Mature,Market_Leader,Mid,Tier_2,High_Margin,Asset_Light,Strong
US059,Healthcare,B2C,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Capital_Intensive,Strong
US060,Finance,B2C,Global,Mature,Market_Leader,Large,Tier_1,Standard,Asset_Light,Strong
US061,Consumer_Discretionary,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US062,Healthcare,B2B,Domestic,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Developing
US063,Healthcare,B2B,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Strong
US064,Finance,B2C,Global,Growth,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US065,Finance,B2C,Global,Mature,Strong_Player,Large,Tier_1,Standard,Asset_Light,Strong
US066,Technology,Platform,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Strong
US067,Finance,B2C,International,Growth,Strong_Player,Large,Tier_1,Low_Margin,Moderate,Strong
US068,Industrials,B2B,Global,Growth,Strong_Player,Large,Tier_1,Standard,Capital_Intensive,Strong
US069,Consumer_Discretionary,B2C,Global,Mature,Market_Leader,Large,Tier_1,Low_Margin,Asset_Light,Strong
US070,Healthcare,B2C,International,Growth,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US071,Healthcare,B2B,Global,Growth,Strong_Player,Large,Tier_1,High_Margin,Moderate,Strong
US072,Technology,B2B,Global,Mature,Strong_Player,Large,Tier_1,Standard,Asset_Light,Strong
US073,Technology,B2B,Domestic,Mature,Market_Leader,Mid,Tier_2,High_Margin,Moderate,Strong
US074,Finance,B2C,Global,Growth,Market_Leader,Mid,Tier_2,Standard,Moderate,Strong
US075,Consumer_Staples,B2C,Domestic,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US076,Industrials,B2B,International,Cyclical,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US077,Consumer_Staples,B2C,Domestic,Cyclical,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Stable
