month_id,unemployment_rate
2020_01,3.6
2020_02,3.5
2020_03,4.4
2020_04,14.8
2020_05,13.2
2020_06,11.0
2020_07,10.2
2020_08,8.4
2020_09,7.8
2020_10,6.9
2020_11,6.7
2020_12,6.7
2021_01,6.4
2021_02,6.2
2021_03,6.1
2021_04,6.1
2021_05,5.8
2021_06,5.9
2021_07,5.4
2021_08,5.1
2021_09,4.7
2021_10,4.5
2021_11,4.2
2021_12,3.9
2022_01,4.0
2022_02,3.8
2022_03,3.7
2022_04,3.7
2022_05,3.6
2022_06,3.6
2022_07,3.5
2022_08,3.6
2022_09,3.5
2022_10,3.6
2022_11,3.6
2022_12,3.5
2023_01,3.5
2023_02,3.6
2023_03,3.5
2023_04,3.4
2023_05,3.6
2023_06,3.6
