stock_id,month_id,month_start_open_usd,month_end_close_usd,month_high_usd,month_low_usd,monthly_volume,intramonth_return,return_1m,return_3m,return_6m,intramonth_volatility,volatility_3m,volatility_6m,trading_days,avg_volume_3m,volume_ratio,price_range_ratio
US001,2020_01,120.192,107.326,123.486,107.035,84539259,-0.107045,-0.100669,-0.030041,-0.075676,0.253304,0.278396,0.201608,21,3182487.0,1.207,0.136875
US001,2020_02,108.252,101.868,111.641,99.636,91313882,-0.058974,-0.050854,-0.112968,-0.060752,0.259208,0.245523,0.192782,19,3686371.0,1.126,0.110905
US001,2020_03,103.301,93.178,105.622,77.841,177930833,-0.097995,-0.085299,-0.219214,-0.154874,0.892709,0.088364,0.213051,22,5360363.0,1.509,0.268931
US001,2020_04,90.1,103.697,111.314,89.424,98448862,0.15091,0.112885,-0.03381,-0.062835,0.408352,0.366808,0.291241,21,5571115.0,0.803,0.242954
US001,2020_05,101.909,107.841,110.206,89.499,103380207,0.058209,0.039966,0.058641,-0.060951,0.419368,0.347233,0.29204,20,5753938.0,0.817,0.203186
US001,2020_06,107.504,107.531,116.872,103.471,80085358,0.000251,-0.002876,0.154034,-0.098947,0.346287,0.202749,0.281799,22,4271431.0,0.852,0.124655
US001,2020_07,107.772,103.726,112.625,102.575,70126743,-0.037542,-0.035387,0.000279,-0.03354,0.271666,0.130923,0.24683,22,3842308.0,0.83,0.093258
US001,2020_08,104.153,113.4,115.591,102.926,59104168,0.088783,0.093267,0.051546,0.11321,0.15518,0.231742,0.264146,21,3171459.0,0.847,0.1216
US001,2020_09,112.809,111.425,120.482,109.957,66938444,-0.012269,-0.017421,0.036207,0.195818,0.285336,0.241356,0.211048,21,2972263.0,1.024,0.093297
US001,2020_10,111.765,111.271,120.475,108.607,55278404,-0.00442,-0.001374,0.072745,0.073045,0.212096,0.207201,0.161701,22,2747288.0,0.915,0.10618
US001,2020_11,112.823,121.194,126.035,111.23,64277106,0.074196,0.089174,0.068729,0.123818,0.259089,0.199092,0.193472,20,2825666.0,1.034,0.131228
US001,2020_12,122.239,122.639,124.513,118.703,58356550,0.003272,0.011926,0.10065,0.140501,0.123872,0.169369,0.190211,22,2695637.0,0.984,0.047526
US001,2021_01,122.787,123.25,131.396,114.634,83866031,0.003771,0.004977,0.107649,0.188225,0.358636,0.161892,0.167499,19,3128783.0,1.218,0.136514
US001,2021_02,123.467,123.841,127.965,121.769,51775439,0.003029,0.004797,0.021841,0.092071,0.156456,0.014082,0.129931,19,2939364.0,0.801,0.050179
US001,2021_03,124.294,136.306,139.164,123.141,75253516,0.096642,0.100651,0.111435,0.223301,0.173981,0.191529,0.161844,23,3195379.0,1.07,0.128913
US001,2021_04,136.709,139.461,143.719,133.441,55537458,0.02013,0.023147,0.13153,0.253338,0.151033,0.176248,0.152025,21,2766158.0,0.913,0.075188
US001,2021_05,140.062,144.692,147.815,139.121,45550976,0.033057,0.037507,0.168366,0.193884,0.171744,0.14283,0.126631,20,2671848.0,0.775,0.062074
US001,2021_06,146.074,141.549,147.378,136.489,61372980,-0.030977,-0.02172,0.038467,0.154188,0.154477,0.107024,0.145943,22,2461537.0,1.133,0.074544
US001,2021_07,142.133,141.057,144.813,138.791,55048053,-0.00757,-0.003474,0.011447,0.144482,0.156369,0.105072,0.149164,21,2454121.0,1.02,0.042367
US001,2021_08,141.862,139.836,144.499,138.386,47628067,-0.014281,-0.008656,-0.033557,0.129159,0.135625,0.03257,0.154333,22,2485592.0,0.871,0.043095
US001,2021_09,139.7,125.963,140.461,125.927,80564117,-0.098332,-0.099209,-0.110109,-0.075878,0.218875,0.186504,0.165916,21,2776367.0,1.319,0.104035
US001,2021_10,126.559,128.304,131.995,124.785,57695401,0.013788,0.018584,-0.090411,-0.08,0.135348,0.213621,0.163702,21,2816479.0,0.931,0.056965
