month_id,10y_treasury
2020_01,1.52
2020_02,1.13
2020_03,0.7
2020_04,0.62
2020_05,0.65
2020_06,0.65
2020_07,0.54
2020_08,0.69
2020_09,0.68
2020_10,0.86
2020_11,0.84
2020_12,0.92
2021_01,1.09
2021_02,1.46
2021_03,1.75
2021_04,1.63
2021_05,1.58
2021_06,1.44
2021_07,1.24
2021_08,1.3
2021_09,1.53
2021_10,1.56
2021_11,1.44
2021_12,1.51
2022_01,1.78
2022_02,1.84
2022_03,2.33
2022_04,2.89
2022_05,2.84
2022_06,2.97
2022_07,2.64
2022_08,3.13
2022_09,3.8
2022_10,4.08
2022_11,3.7
2022_12,3.88
2023_01,3.53
2023_02,3.92
2023_03,3.49
2023_04,3.45
2023_05,3.64
2023_06,3.85
