month_id,vix
2020_01,13.94
2020_02,19.63
2020_03,57.74
2020_04,41.45
2020_05,30.9
2020_06,31.12
2020_07,26.84
2020_08,22.89
2020_09,27.65
2020_10,29.44
2020_11,25.0
2020_12,22.37
2021_01,24.91
2021_02,23.14
2021_03,21.84
2021_04,17.42
2021_05,19.76
2021_06,16.96
2021_07,17.6
2021_08,17.48
2021_09,19.82
2021_10,17.87
2021_11,18.5
2021_12,21.35
2022_01,23.18
2022_02,25.75
2022_03,26.97
2022_04,24.37
2022_05,29.45
2022_06,28.1
2022_07,24.87
2022_08,22.17
2022_09,27.41
2022_10,30.01
2022_11,23.44
2022_12,21.78
2023_01,20.2
2023_02,20.06
2023_03,21.64
2023_04,17.82
2023_05,17.64
2023_06,14.01
